2024-04-01 03:00:00,49597

2024-04-01 03:05:00,48713

2024-04-01 03:10:00,51331

2024-04-01 03:15:00,47626

2024-04-01 03:20:00,47219

2024-04-01 03:25:00,44975

2024-04-01 03:30:00,44675

2024-04-01 03:35:00,44920

2024-04-01 03:40:00,45356

2024-04-01 03:45:00,42983

2024-04-01 03:50:00,46445

2024-04-01 03:55:00,43530

2024-04-01 04:00:00,44201

2024-04-01 04:05:00,42070

2024-04-01 04:10:00,42142

2024-04-01 04:15:00,40444

2024-04-01 04:20:00,42924

2024-04-01 04:25:00,42405

2024-04-01 04:30:00,42199

2024-04-01 04:35:00,41048

2024-04-01 04:40:00,40500

2024-04-01 04:45:00,40948

2024-04-01 04:50:00,40568

2024-04-01 04:55:00,41049

2024-04-01 05:00:00,38988

2024-04-01 05:05:00,40751

2024-04-01 05:10:00,39772

2024-04-01 05:15:00,39516

2024-04-01 05:20:00,40587

2024-04-01 05:25:00,39719

2024-04-01 05:30:00,39767

2024-04-01 05:35:00,38054

2024-04-01 05:40:00,38491

2024-04-01 05:45:00,39316

2024-04-01 05:50:00,38959

2024-04-01 05:55:00,37802

2024-04-01 06:00:00,41237

2024-04-01 06:05:00,41547

2024-04-01 06:10:00,41133

2024-04-01 06:15:00,39455

2024-04-01 06:20:00,39541

2024-04-01 06:25:00,41471

2024-04-01 06:30:00,42722

2024-04-01 06:35:00,40287

2024-04-01 06:40:00,42163

2024-04-01 06:45:00,41522

2024-04-01 06:50:00,41272

2024-04-01 06:55:00,42204

2024-04-01 07:00:00,45751

2024-04-01 07:05:00,41745

2024-04-01 07:10:00,44273

2024-04-01 07:15:00,44655

2024-04-01 07:20:00,46252

2024-04-01 07:25:00,46627

2024-04-01 07:30:00,45834

2024-04-01 07:35:00,49901

2024-04-01 07:40:00,48274

2024-04-01 07:45:00,50225

2024-04-01 07:50:00,52236

2024-04-01 07:55:00,52247

2024-04-01 08:00:00,53204

2024-04-01 08:05:00,53386

2024-04-01 08:10:00,59590

2024-04-01 08:15:00,60678

